Filename,Species_Count,
references.12s.12S-V5.cleaned.v265.csv,28,0.466666667
references.12s.bylemans-AcMDB.cleaned.v265.csv,28,0.466666667
references.12s.evans-Ac.cleaned.v265.csv,28,0.466666667
references.12s.evans-Am.cleaned.v265.csv,26,0.433333333
references.12s.kelly.cleaned.v265.csv,28,0.466666667
references.12s.riaz-1.cleaned.v265.csv,28,0.466666667
references.16s.berry-1.cleaned.v263.csv,30,0.5
references.16s.bylemans.cleaned.v263.csv,30,0.5
references.16s.evans-Ve.cleaned.v263.csv,30,0.5
references.16s.kitano-1.cleaned.v263.csv,30,0.5
references.16s.mcinnes.cleaned.v263.csv,30,0.5
references.16s.palumbi.cleaned.v263.csv,30,0.5
references.16s.shaw.cleaned.v263.csv,30,0.5
references.16s.vences.cleaned.v263.csv,30,0.5
references.coi.collins-mid.cleaned.vNA.csv,58,0.966666667
references.coi.collins-short.cleaned.vNA.csv,58,0.966666667
references.coi.folmer.cleaned.vNA.csv,58,0.966666667
references.coi.geller.cleaned.vNA.csv,58,0.966666667
references.coi.ivanova-FF2s.cleaned.vNA.csv,58,0.966666667
references.coi.ivanova-VF1d.cleaned.vNA.csv,58,0.966666667
references.coi.ivanova-Vf1i.cleaned.vNA.csv,58,0.966666667
references.coi.lerayxt.cleaned.vNA.csv,58,0.966666667
references.coi.meyer.cleaned.vNA.csv,58,0.966666667
references.coi.ward-1.cleaned.vNA.csv,58,0.966666667
references.coi.weigt.cleaned.vNA.csv,58,0.966666667
references.cytb.burgener.cleaned.v263.csv,26,0.433333333
references.cytb.hanfling.cleaned.v263.csv,26,0.433333333
references.cytb.minamoto-1.cleaned.v263.csv,26,0.433333333
references.cytb.miya.cleaned.v263.csv,26,0.433333333
references.cytb.miyanishida.cleaned.v263.csv,26,0.433333333
references.cytb.palumbi.cleaned.v263.csv,26,0.433333333
references.cytb.sevilla.cleaned.v263.csv,26,0.433333333
